ÉLODIE;624263602;test;elodie.rondet2@hotmail.fr;"2019-04-08 19:38:53"
PHILIPPE;624263602;"coucou! Tu vas bien. Je trouve que ton site est un peu merdique. A la prochaine :)
";danstoncul@hotmail.fr;"2019-04-08 19:42:47"
LOIC;753096808;"nouveau test";titi@hotmail.fr;"2019-04-08 19:56:07"
LOIC;753096808;test;test@hotmail.fr;"2019-04-08 20:00:00"
NARUTO;753096808;"Coucou, moi c'est naruto";titi@hotmail.fr;"2019-04-09 07:28:02"
NARUTO;753096808;"Coucou, moi c'est naruto";titi@hotmail.fr;"2019-04-09 07:30:40"
NARUTO;753096808;"Coucou, moi c'est naruto";titi@hotmail.fr;"2019-04-09 07:31:21"
NARUTO;753096808;"Coucou, moi c'est naruto";titi@hotmail.fr;"2019-04-09 07:31:39"
NARUTO;753096808;"Coucou, moi c'est naruto";titi@hotmail.fr;"2019-04-09 07:38:20"
NARUTO;753096808;"Coucou, moi c'est naruto";titi@hotmail.fr;"2019-04-09 07:48:51"
ÉLODIE;753096808;test;titi@hotmail.fr;"2019-04-09 16:02:00"
PHILIPPE;753096808;test;danstoncul@hotmail.fr;"2019-04-09 16:43:00"
